2024-06-22 23:50:11.273 [http-nio-8080-exec-8] WARN  apiwork.controller.VideoController [VideoController.java : 120] - User 1803076218203586562 has already liked video with ID 7374305862506089737
2024-06-22 23:50:11.273 [http-nio-8080-exec-8] INFO  apiwork.controller.VideoLogger [VideoLogger.java : 47] - Method likeVideo() executed in 5 ms
2024-06-22 23:50:13.469 [http-nio-8080-exec-5] INFO  apiwork.controller.VideoLogger [VideoLogger.java : 38] - Method dislikeVideo() called with arguments [7374305862506089737]
2024-06-22 23:50:13.472 [http-nio-8080-exec-5] INFO  apiwork.controller.VideoController [VideoController.java : 136] - User 1803076218203586562 dislikes video with ID 7374305862506089737
2024-06-22 23:50:13.491 [http-nio-8080-exec-5] INFO  apiwork.controller.VideoController [VideoController.java : 140] - Video with ID 7374305862506089737 disliked successfully by user 1803076218203586562
2024-06-22 23:50:13.492 [http-nio-8080-exec-5] INFO  apiwork.controller.VideoLogger [VideoLogger.java : 47] - Method dislikeVideo() executed in 23 ms
2024-06-22 23:50:15.458 [http-nio-8080-exec-2] INFO  apiwork.controller.VideoLogger [VideoLogger.java : 38] - Method likeVideo() called with arguments [7374305862506089737]
2024-06-22 23:50:15.461 [http-nio-8080-exec-2] INFO  apiwork.controller.VideoController [VideoController.java : 118] - User 1803076218203586562 likes video with ID 7374305862506089737
2024-06-22 23:50:15.483 [http-nio-8080-exec-2] INFO  apiwork.controller.VideoController [VideoController.java : 125] - Video with ID 7374305862506089737 liked successfully by user 1803076218203586562
2024-06-22 23:50:15.483 [http-nio-8080-exec-2] INFO  apiwork.controller.VideoLogger [VideoLogger.java : 47] - Method likeVideo() executed in 25 ms
2024-06-22 23:59:13.822 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource [HikariDataSource.java : 350] - HikariPool-1 - Shutdown initiated...
2024-06-22 23:59:13.826 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource [HikariDataSource.java : 352] - HikariPool-1 - Shutdown completed.
